#t,fmu0_p.e,fmu0_zChassis,fmu1_p.e,fmu1_p1.f,fmu1_zWheel,fmu2_p.f,fmu2_zGround
+5.0700000000000003e+00,+3.9317851946528158e+03,+1.1331983540973822e+00,+4.3235214699183089e+03,-8.7214656118625043e-04,+6.3321664844704850e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+5.0800000000000001e+00,+3.9330621229575377e+03,+1.1330906221632215e+00,+4.3248378654878961e+03,-8.3341856938828527e-04,+6.3320787247658461e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+5.0899999999999999e+00,+3.9342768098895253e+03,+1.1329854941876929e+00,+4.3260929074768592e+03,-7.9266796055855689e-04,+6.3319950552999160e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+5.0999999999999996e+00,+3.9354264256895844e+03,+1.1328832740362462e+00,+4.3272836050171027e+03,-7.5006456391011136e-04,+6.3319156754639006e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+5.1100000000000003e+00,+3.9365084263990025e+03,+1.1327842492915876e+00,+4.3284072339507547e+03,-7.0578417659807567e-04,+6.3318407668683241e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+5.1200000000000001e+00,+3.9375205496824465e+03,+1.1326886906169886e+00,+4.3294613487088909e+03,-6.6001196313059671e-04,+6.3317704925511153e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+5.1299999999999999e+00,+3.9384608115718929e+03,+1.1325968511895506e+00,+4.3304437960765990e+03,-6.1294147951391098e-04,+6.3317049960599359e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+5.1399999999999997e+00,+3.9393275066614265e+03,+1.1325089662031624e+00,+4.3313527244856696e+03,-5.6476987731265429e-04,+6.3316444008326656e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+5.1500000000000004e+00,+3.9401192116853958e+03,+1.1324252524416829e+00,+4.3321865848811940e+03,-5.1569183247024907e-04,+6.3315888101396312e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+5.1600000000000001e+00,+3.9408347900928384e+03,+1.1323459079233968e+00,+4.3329441235128643e+03,-4.6589520211713105e-04,+6.3315383075641885e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+5.1699999999999999e+00,+3.9414733944008999e+03,+1.1322711116176760e+00,+4.3336243707464018e+03,-4.1556023228831471e-04,+6.3314929577486201e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+5.1799999999999997e+00,+3.9420344640797925e+03,+1.1322010232339859e+00,+4.3342266312332476e+03,-3.6486209501826916e-04,+6.3314528070494969e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+5.1900000000000004e+00,+3.9425177188160596e+03,+1.1321357830822900e+00,+4.3347504790806443e+03,-3.1397479015292422e-04,+6.3314178838596691e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+5.2000000000000002e+00,+3.9429231490057264e+03,+1.1320755120029995e+00,+4.3351957581960578e+03,-2.6307390644495572e-04,+6.3313881985853093e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+5.2100000000000000e+00,+3.9432510061863036e+03,+1.1320203113642342e+00,+4.3355625847453402e+03,-2.1233657861364775e-04,+6.3313637434820247e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+5.2199999999999998e+00,+3.9435017954735581e+03,+1.1319702631243587e+00,+4.3358513473654766e+03,-1.6193863029422332e-04,+6.3313444926406826e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+5.2300000000000004e+00,+3.9436762704030048e+03,+1.1319254299582544e+00,+4.3360627019298736e+03,-1.1205040456253621e-04,+6.3313304023363903e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+5.2400000000000002e+00,+3.9437754288662431e+03,+1.1318858554462086e+00,+4.3361975604427998e+03,-6.2833361792900502e-05,+6.3313214117688621e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+5.2500000000000000e+00,+3.9438005079937388e+03,+1.1318515643243026e+00,+4.3362570764168140e+03,-1.4438944487368193e-05,+6.3313174440372599e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+5.2599999999999998e+00,+3.9437529762378485e+03,+1.1318225627947416e+00,+4.3362426303853163e+03,+3.2990117451862751e-05,+6.3313184071060258e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+5.2699999999999996e+00,+3.9436345222287255e+03,+1.1317988388938349e+00,+4.3361558184632804e+03,+7.9317187225056462e-05,+6.3313241945674958e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+5.2800000000000002e+00,+3.9434470414279422e+03,+1.1317803629146799e+00,+4.3359984446687849e+03,+1.2440949736658907e-04,+6.3313346861537978e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+5.2900000000000000e+00,+3.9431926224057502e+03,+1.1317670878812656e+00,+4.3357725153585779e+03,+1.6813765261746555e-04,+6.3313497481078118e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+5.2999999999999998e+00,+3.9428735343499939e+03,+1.1317589500707792e+00,+4.3354802328833302e+03,+2.1037713632084034e-04,+6.3313692336061611e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+5.3099999999999996e+00,+3.9424922163850351e+03,+1.1317558695812515e+00,+4.3351239859977923e+03,+2.5101098961710698e-04,+6.3313929833985305e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+5.3200000000000003e+00,+3.9420512680585830e+03,+1.1317577509420143e+00,+4.3347063362897661e+03,+2.8993226603991093e-04,+6.3314208267123984e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+5.3300000000000001e+00,+3.9415534396098938e+03,+1.1317644837645651e+00,+4.3342300018835303e+03,+3.2704509182177949e-04,+6.3314525823394829e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+5.3399999999999999e+00,+3.9410016207183867e+03,+1.1317759434312391e+00,+4.3336978408445584e+03,+3.6226399225872070e-04,+6.3314880597420808e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+5.3499999999999996e+00,+3.9403988272276824e+03,+1.1317919918186423e+00,+4.3331128365126860e+03,+3.9551208127447640e-04,+6.3315270600308737e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+5.3600000000000003e+00,+3.9397481863590615e+03,+1.1318124780524024e+00,+4.3324780856489633e+03,+4.2671924667156354e-04,+6.3315693767551229e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+5.3700000000000001e+00,+3.9390529216080186e+03,+1.1318372392895311e+00,+4.3317967886134948e+03,+4.5582134836347703e-04,+6.3316147965574876e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+5.3799999999999999e+00,+3.9383163385259113e+03,+1.1318661015247540e+00,+4.3310722397143372e+03,+4.8276080055202950e-04,+6.3316630998174328e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+5.3899999999999997e+00,+3.9375418119809856e+03,+1.1318988804174286e+00,+4.3303078159015722e+03,+5.0748812290923482e-04,+6.3317140614049505e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+5.4000000000000004e+00,+3.9367327746472843e+03,+1.1319353821359872e+00,+4.3295069630082517e+03,+5.2996355121811970e-04,+6.3317674515978395e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+5.4100000000000001e+00,+3.9358927058572181e+03,+1.1319754042170362e+00,+4.3286731801248397e+03,+5.5015783200595980e-04,+6.3318230371234008e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+5.4199999999999999e+00,+3.9350251198786482e+03,+1.1320187364362244e+00,+4.3278100036664409e+03,+5.6805182316217078e-04,+6.3318805822206292e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+5.4299999999999997e+00,+3.9341335531315272e+03,+1.1320651616877948e+00,+4.3269209927706997e+03,+5.8363517725760713e-04,+6.3319398496136781e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+5.4400000000000004e+00,+3.9332215505527793e+03,+1.1321144568695203e+00,+4.3260097168862967e+03,+5.9690483371343573e-04,+6.3320006013393049e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+5.4500000000000002e+00,+3.9322926518597133e+03,+1.1321663937695761e+00,+4.3250797452671068e+03,+6.0786406919762577e-04,+6.3320625994472535e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+5.4600000000000000e+00,+3.9313503785763123e+03,+1.1322207399520026e+00,+4.3241346372169128e+03,+6.1652247837541815e-04,+6.3321256066505993e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+5.4699999999999998e+00,+3.9303982223499024e+03,+1.1322772596376194e+00,+4.3231779317719238e+03,+6.2289671601183441e-04,+6.3321893870135992e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+5.4800000000000004e+00,+3.9294396345164309e+03,+1.1323357145775754e+00,+4.3222131360826506e+03,+6.2701142914086121e-04,+6.3322537067262175e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+5.4900000000000002e+00,+3.9284780163939831e+03,+1.1323958649169450e+00,+4.3212437126910090e+03,+6.2889974640068251e-04,+6.3323183349523282e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+5.5000000000000000e+00,+3.9275167096416940e+03,+1.1324574700458911e+00,+4.3202730666622965e+03,+6.2860297308573528e-04,+6.3323830446875762e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+5.5099999999999998e+00,+3.9265589862599218e+03,+1.1325202894358855e+00,+4.3193045337325275e+03,+6.2616958458524912e-04,+6.3324476135495611e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+5.5199999999999996e+00,+3.9256080382651276e+03,+1.1325840834583978e+00,+4.3183413702117859e+03,+6.2165396670702856e-04,+6.3325118244509460e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+5.5300000000000002e+00,+3.9246669674852042e+03,+1.1326486141834406e+00,+4.3173867446215818e+03,+6.1511543740581519e-04,+6.3325754661569622e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+5.5400000000000000e+00,+3.9237387760714655e+03,+1.1327136461554577e+00,+4.3164437303741870e+03,+6.0661787894985154e-04,+6.3326383337734571e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+5.5499999999999998e+00,+3.9228263581542506e+03,+1.1327789471442571e+00,+4.3155152985718269e+03,+5.9622994796935361e-04,+6.3327002292269474e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+5.5599999999999996e+00,+3.9219324926976565e+03,+1.1328442888689796e+00,+4.3146043102956246e+03,+5.8402551959885825e-04,+6.3327609617786962e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+5.5700000000000003e+00,+3.9210598372498685e+03,+1.1329094476933419e+00,+4.3137135083649555e+03,+5.7008392222767062e-04,+6.3328203485740742e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+5.5800000000000001e+00,+3.9202109221278729e+03,+1.1329742052905694e+00,+4.3128455091228243e+03,+5.5448966543591950e-04,+6.3328782151902152e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+5.5899999999999999e+00,+3.9193881446837240e+03,+1.1330383492765006e+00,+4.3120027950377425e+03,+5.3733165580763188e-04,+6.3329343961292206e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+5.5999999999999996e+00,+3.9185937635915284e+03,+1.1331016738093644e+00,+4.3111877087116964e+03,+5.1870216494379919e-04,+6.3329887352176228e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+5.6100000000000003e+00,+3.9178298933967940e+03,+1.1331639801547693e+00,+4.3104024483917219e+03,+4.9869591959712605e-04,+6.3330410859056208e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+5.6200000000000001e+00,+3.9170984997197393e+03,+1.1332250772145629e+00,+4.3096490645861850e+03,+4.7740958383732564e-04,+6.3330913114926568e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+5.6299999999999999e+00,+3.9164013954342181e+03,+1.1332847820184058e+00,+4.3089294571495639e+03,+4.5494166911831722e-04,+6.3331392853217650e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+5.6399999999999997e+00,+3.9157402379098276e+03,+1.1333429201771621e+00,+4.3082453723235340e+03,+4.3139267658764307e-04,+6.3331848909768351e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+5.6500000000000004e+00,+3.9151165271446862e+03,+1.1333993262974453e+00,+4.3075983996079722e+03,+4.0686516998808141e-04,+6.3332280224912052e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+5.6600000000000001e+00,+3.9145316044700726e+03,+1.1334538443568443e+00,+4.3069899687533734e+03,+3.8146354225420461e-04,+6.3332685845481795e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+5.6699999999999999e+00,+3.9139866515422259e+03,+1.1335063280394633e+00,+4.3064213473896689e+03,+3.5529342467157451e-04,+6.3333064926390958e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+5.6799999999999997e+00,+3.9134826895159090e+03,+1.1335566410314852e+00,+4.3058936397329435e+03,+3.2846088453531168e-04,+6.3333416731495440e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+5.6900000000000004e+00,+3.9130205785093949e+03,+1.1336046572765188e+00,+4.3054077865055988e+03,+3.0107165967102080e-04,+6.3333740633647007e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+5.7000000000000002e+00,+3.9126010176027994e+03,+1.1336502611906041e+00,+4.3049645658498866e+03,+2.7323063986113067e-04,+6.3334036114084147e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+5.7100000000000000e+00,+3.9122245455971170e+03,+1.1336933478369038e+00,+4.3045645948021611e+03,+2.4504165908831354e-04,+6.3334302761449290e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+5.7199999999999998e+00,+3.9118915426200574e+03,+1.1337338230603122e+00,+4.3042083309252166e+03,+2.1660749596015585e-04,+6.3334540270700590e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+5.7300000000000004e+00,+3.9116022324823844e+03,+1.1337716035824064e+00,+4.3038960739302465e+03,+1.8802988316345091e-04,+6.3334748442030575e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+5.7400000000000002e+00,+3.9113566855649760e+03,+1.1338066170573280e+00,+4.3036279674145389e+03,+1.5940934542587676e-04,+6.3334927179707712e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+5.7500000000000000e+00,+3.9111548220120517e+03,+1.1338388020893018e+00,+4.3034040010330555e+03,+1.3084479901509066e-04,+6.3335076490628706e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+5.7599999999999998e+00,+3.9109964151111203e+03,+1.1338681082125521e+00,+4.3032240134177691e+03,+1.0243298531355145e-04,+6.3335196482372225e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+5.7699999999999996e+00,+3.9108810948888381e+03,+1.1338944958344419e+00,+4.3030876959771240e+03,+7.4267899867135246e-05,+6.3335287360665982e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+5.7800000000000002e+00,+3.9108083520605828e+03,+1.1339179361427376e+00,+4.3029945974611292e+03,+4.6440373697872630e-05,+6.3335349426343313e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+5.7900000000000000e+00,+3.9107775424852375e+03,+1.1339384109779973e+00,+4.3029441290020313e+03,+1.9037876344345406e-05,+6.3335383071982709e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+5.7999999999999998e+00,+3.9107878921962674e+03,+1.1339559126722329e+00,+4.3029355693228890e+03,-7.8555060960526546e-06,+6.3335388778435464e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+5.8099999999999996e+00,+3.9108385029563583e+03,+1.1339704438551159e+00,+4.3029680699414139e+03,-3.4159045319156803e-05,+6.3335367111356444e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+5.8200000000000003e+00,+3.9109283581850750e+03,+1.1339820172291288e+00,+4.3030406603983884e+03,-5.9795430359606248e-05,+6.3335318717718470e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+5.8300000000000001e+00,+3.9110563290867117e+03,+1.1339906553151271e+00,+4.3031522536947859e+03,-8.4690979133352905e-05,+6.3335244322187545e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+5.8399999999999999e+00,+3.9112211808634042e+03,+1.1339963901698267e+00,+4.3033016521510808e+03,-1.0877597294793439e-04,+6.3335144723216696e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+5.8499999999999996e+00,+3.9114215789987006e+03,+1.1339992630767557e+00,+4.3034875538013484e+03,-1.3198501296079391e-04,+6.3335020788783181e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+5.8600000000000003e+00,+3.9116560956816747e+03,+1.1339993242122341e+00,+4.3037085592687372e+03,-1.5425728568879755e-04,+6.3334873451804918e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+5.8700000000000001e+00,+3.9119232164675336e+03,+1.1339966322879991e+00,+4.3039631789319601e+03,-1.7553667387109527e-04,+6.3334703705362771e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+5.8799999999999999e+00,+3.9122213472288022e+03,+1.1339912541721642e+00,+4.3042498401545390e+03,-1.9577172767013641e-04,+6.3334512597881054e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+5.8899999999999997e+00,+3.9125488213700555e+03,+1.1339832644902617e+00,+4.3045668944212921e+03,-2.1491557486097616e-04,+6.3334301228369894e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+5.9000000000000004e+00,+3.9129039072053270e+03,+1.1339727452081811e+00,+4.3049126243610244e+03,-2.3292586480571468e-04,+6.3334070741743398e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+5.9100000000000001e+00,+3.9132848153696755e+03,+1.1339597851988450e+00,+4.3052852507538473e+03,-2.4976480529159174e-04,+6.3333822324148192e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+5.9199999999999999e+00,+3.9136897061655363e+03,+1.1339444797944593e+00,+4.3056829396636176e+03,-2.6539928742337480e-04,+6.3333557198208357e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+5.9299999999999997e+00,+3.9141166968100665e+03,+1.1339269303261665e+00,+4.3061038097854762e+03,-2.7980103824058104e-04,+6.3333276618127110e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+5.9400000000000004e+00,+3.9145638686137700e+03,+1.1339072436529063e+00,+4.3065459399906513e+03,-2.9294672242695911e-04,+6.3332981864657001e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+5.9500000000000002e+00,+3.9150292741494804e+03,+1.1338855316812861e+00,+4.3070073769483242e+03,-3.0481793984458153e-04,+6.3332674240018538e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+5.9600000000000000e+00,+3.9155109444525051e+03,+1.1338619108782677e+00,+4.3074861426617899e+03,-3.1540111727137250e-04,+6.3332355062876244e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+5.9699999999999998e+00,+3.9160068962415244e+03,+1.1338365017784784e+00,+4.3079802417909395e+03,-3.2468734085494522e-04,+6.3332025663456815e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+5.9800000000000004e+00,+3.9165151390964306e+03,+1.1338094284879632e+00,+4.3084876687202632e+03,-3.3267219510186750e-04,+6.3331687378837276e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+5.9900000000000002e+00,+3.9170336825025647e+03,+1.1337808181861695e+00,+4.3090064144203589e+03,-3.3935565704740694e-04,+6.3331341548370546e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+6.0000000000000000e+00,+3.9175605426831498e+03,+1.1337508006279173e+00,+4.3095344731944169e+03,-3.4474205299092706e-04,+6.3330989509187841e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+6.0099999999999998e+00,+3.9180937491835170e+03,+1.1337195076470559e+00,+4.3100698493806631e+03,-3.4884004398365862e-04,+6.3330632591730351e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+6.0199999999999996e+00,+3.9186313512175971e+03,+1.1336870726634469e+00,+4.3106105640143232e+03,-3.5166258706019937e-04,+6.3330272115307917e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+6.0300000000000002e+00,+3.9191714238141521e+03,+1.1336536301948674e+00,+4.3111546613790888e+03,-3.5322683029282066e-04,+6.3329909383731409e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+6.0400000000000000e+00,+3.9197120737954638e+03,+1.1336193153753724e+00,+4.3117002153383492e+03,-3.5355393250520136e-04,+6.3329545681091881e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+6.0499999999999998e+00,+3.9202514455903693e+03,+1.1335842634816240e+00,+4.3122453353495021e+03,-3.5266883358842397e-04,+6.3329182267751116e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+6.0599999999999996e+00,+3.9207877268462394e+03,+1.1335486094686451e+00,+4.3127881721192734e+03,-3.5060001988534956e-04,+6.3328820376571282e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+6.0700000000000003e+00,+3.9213191537814819e+03,+1.1335124875164002e+00,+4.3133269229220032e+03,-3.4737932272257326e-04,+6.3328461209369458e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+6.0800000000000001e+00,+3.9218440162232841e+03,+1.1334760305885401e+00,+4.3138598366420010e+03,-3.4304176246699989e-04,+6.3328105933556134e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+6.0899999999999999e+00,+3.9223606623009873e+03,+1.1334393700045595e+00,+4.3143852185973492e+03,-3.3762542090907331e-04,+6.3327755678919251e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+6.0999999999999996e+00,+3.9228675027988347e+03,+1.1334026350265409e+00,+4.3149014351623355e+03,-3.3117130740383405e-04,+6.3327411534542599e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+6.1100000000000003e+00,+3.9233630151949133e+03,+1.1333659524615702e+00,+4.3154069181544146e+03,-3.2372318721026063e-04,+6.3327074545881212e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+6.1200000000000001e+00,+3.9238457474153734e+03,+1.1333294462808428e+00,+4.3159001689180659e+03,-3.1532736042690323e-04,+6.3326745712038779e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+6.1299999999999999e+00,+3.9243143213155363e+03,+1.1332932372564002e+00,+4.3163797620391679e+03,-3.0603240471306094e-04,+6.3326425983291390e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+6.1399999999999997e+00,+3.9247674358742233e+03,+1.1332574426163742e+00,+4.3168443486563456e+03,-2.9588891095271621e-04,+6.3326116258879950e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+6.1500000000000004e+00,+3.9252038700692119e+03,+1.1332221757195391e+00,+4.3172926593805450e+03,-2.8494924046940616e-04,+6.3325817385063843e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+6.1600000000000001e+00,+3.9256224854000470e+03,+1.1331875457498835e+00,+4.3177235068666268e+03,-2.7326731709301070e-04,+6.3325530153406462e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+6.1699999999999999e+00,+3.9260222280395374e+03,+1.1331536574318364e+00,+4.3181357880853930e+03,-2.6089844676532078e-04,+6.3325255299260641e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+6.1799999999999997e+00,+3.9264021306182194e+03,+1.1331206107666696e+00,+4.3185284863219058e+03,-2.4789914290655778e-04,+6.3324993500436311e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+6.1900000000000004e+00,+3.9267613136646023e+03,+1.1330885007905369e+00,+4.3189006728911963e+03,-2.3432693458479836e-04,+6.3324745376056768e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+6.2000000000000002e+00,+3.9270989867292246e+03,+1.1330574173544978e+00,+4.3192515085358682e+03,-2.2024014607132381e-04,+6.3324511485626978e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+6.2100000000000000e+00,+3.9274144492114533e+03,+1.1330274449268212e+00,+4.3195802444654400e+03,-2.0569765334406046e-04,+6.3324292328340592e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+6.2199999999999998e+00,+3.9277070908912774e+03,+1.1329986624177726e+00,+4.3198862230159821e+03,-1.9075863597190645e-04,+6.3324088342640239e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+6.2300000000000004e+00,+3.9279763921541298e+03,+1.1329711430270220e+00,+4.3201688779389096e+03,-1.7548234509082264e-04,+6.3323899906024950e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+6.2400000000000002e+00,+3.9282219238929879e+03,+1.1329449541137224e+00,+4.3204277343532531e+03,-1.5992789957742124e-04,+6.3323727335082070e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+6.2500000000000000e+00,+3.9284433470801623e+03,+1.1329201570892398e+00,+4.3206624084037267e+03,-1.4415410858742184e-04,+6.3323570885715097e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+6.2599999999999998e+00,+3.9286404120164593e+03,+1.1328968073324117e+00,+4.3208726066551981e+03,-1.2821930721950076e-04,+6.3323430753547449e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+6.2699999999999996e+00,+3.9288129572794064e+03,+1.1328749541271572e+00,+4.3210581252312477e+03,-1.1218118904446472e-04,+6.3323307074496760e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+6.2800000000000002e+00,+3.9289609083981736e+03,+1.1328546406221691e+00,+4.3212188486841233e+03,-9.6096625426121113e-05,+6.3323199925528195e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+6.2900000000000000e+00,+3.9290842762785560e+03,+1.1328359038123599e+00,+4.3213547485764529e+03,-8.0021472839128893e-05,+6.3323109325599980e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+6.2999999999999998e+00,+3.9291831553906331e+03,+1.1328187745416733e+00,+4.3214658817646605e+03,-6.4010379271034059e-05,+6.3323035236807845e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+6.3099999999999996e+00,+3.9292577217209732e+03,+1.1328032775268027e+00,+4.3215523883937758e+03,-4.8116604145123731e-05,+6.3322977565721772e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+6.3200000000000003e+00,+3.9293082304867985e+03,+1.1327894314013063e+00,+4.3216144896323431e+03,-3.2391861767687248e-05,+6.3322936164896071e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+6.3300000000000001e+00,+3.9293350136132385e+03,+1.1327772487795482e+00,+4.3216524851845370e+03,-1.6886189167917412e-05,+6.3322910834527957e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+6.3399999999999999e+00,+3.9293384769844674e+03,+1.1327667363398253e+00,+4.3216667506112444e+03,-1.6478305798518434e-06,+6.3322901324243497e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+6.3499999999999996e+00,+3.9293190974895820e+03,+1.1327578949259942e+00,+4.3216577344771176e+03,+1.3276872727191843e-05,+6.3322907334999601e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+6.3600000000000003e+00,+3.9292774198894417e+03,+1.1327507196668629e+00,+4.3216259553253285e+03,+2.7843595641092951e-05,+6.3322928521100819e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+6.3700000000000001e+00,+3.9292140535290805e+03,+1.1327452001125553e+00,+4.3215719984743937e+03,+4.2010146545254568e-05,+6.3322964492334788e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+6.3799999999999999e+00,+3.9291296689133815e+03,+1.1327413203870391e+00,+4.3214965126353436e+03,+5.5736582615096260e-05,+6.3323014816227485e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+6.3899999999999997e+00,+3.9290249941557272e+03,+1.1327390593559512e+00,+4.3214002063598336e+03,+6.8985313437346774e-05,+6.3323079020411166e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
