"time","chassis.zChassis"
8.35,1.13318
8.36,1.13318
8.37,1.13318
8.38,1.13317
8.39,1.13317
8.4,1.13317
8.41,1.13317
8.42,1.13316
8.43,1.13316
8.44,1.13316
8.45,1.13316
8.46,1.13316
8.47,1.13315
8.48,1.13315
8.49,1.13315
8.5,1.13315
8.51,1.13315
8.52,1.13315
8.53,1.13315
8.54,1.13315
8.55,1.13315
8.56,1.13315
8.57,1.13315
8.58,1.13315
8.59,1.13315
8.6,1.13315
8.61,1.13315
8.62,1.13315
8.63,1.13315
8.64,1.13315
8.65,1.13315
8.66,1.13315
8.67,1.13315
8.68,1.13316
8.69,1.13316
8.7,1.13316
8.71,1.13316
8.72,1.13316
8.73,1.13316
8.74,1.13317
8.75,1.13317
8.76,1.13317
8.77,1.13317
8.78,1.13317
8.79,1.13318
8.8,1.13318
8.81,1.13318
8.82,1.13318
8.83,1.13318
8.84,1.13319
8.85,1.13319
8.86,1.13319
8.87,1.13319
8.88,1.13319
8.89,1.1332
8.9,1.1332
8.91,1.1332
8.92,1.1332
8.93,1.1332
8.94,1.1332
8.95,1.13321
8.96,1.13321
8.97,1.13321
8.98,1.13321
8.99,1.13321
9,1.13321
9.01,1.13321
9.02,1.13321
9.03,1.13321
9.04,1.13322
9.05,1.13322
9.06,1.13322
9.07,1.13322
9.08,1.13322
9.09,1.13322
9.1,1.13322
9.11,1.13322
9.12,1.13322
9.13,1.13322
9.14,1.13322
9.15,1.13322
9.16,1.13322
9.17,1.13322
9.18,1.13322
9.19,1.13322
9.2,1.13321
9.21,1.13321
9.22,1.13321
9.23,1.13321
9.24,1.13321
9.25,1.13321
9.26,1.13321
9.27,1.13321
9.28,1.13321
9.29,1.13321
9.3,1.13321
9.31,1.1332
9.32,1.1332
9.33,1.1332
9.34,1.1332
9.35,1.1332
9.36,1.1332
9.37,1.1332
9.38,1.1332
9.39,1.13319
9.4,1.13319
9.41,1.13319
9.42,1.13319
9.43,1.13319
9.44,1.13319
9.45,1.13319
9.46,1.13319
9.47,1.13319
9.48,1.13319
9.49,1.13318
9.5,1.13318
9.51,1.13318
9.52,1.13318
9.53,1.13318
9.54,1.13318
9.55,1.13318
9.56,1.13318
9.57,1.13318
9.58,1.13318
9.59,1.13318
9.6,1.13318
9.61,1.13318
9.62,1.13318
9.63,1.13318
9.64,1.13318
9.65,1.13318
9.66,1.13318
9.67,1.13318
9.68,1.13318
9.69,1.13318
9.7,1.13318
9.71,1.13318
9.72,1.13318
9.73,1.13318
9.74,1.13318
9.75,1.13318
9.76,1.13318
9.77,1.13318
9.78,1.13318
9.79,1.13318
9.8,1.13318
9.81,1.13318
9.82,1.13318
9.83,1.13318
9.84,1.13318
9.85,1.13319
9.86,1.13319
9.87,1.13319
9.88,1.13319
9.89,1.13319
9.9,1.13319
9.91,1.13319
9.92,1.13319
9.93,1.13319
9.94,1.13319
9.95,1.13319
9.96,1.13319
9.97,1.13319
9.98,1.13319
9.99,1.13319
10,1.13319
